time,position,velocity,acceleration,mass
0,0.235233,2.35233,23.5233,150
0.1,0.707937,4.72704,23.747,149
0.2,1.42038,7.12442,23.9738,148
0.3,2.37486,9.54478,24.2036,147
0.4,3.5737,11.9884,24.4366,146
0.5,5.01927,14.4557,24.6728,145
0.6,6.71396,16.9469,24.9122,144
0.7,8.66021,19.4624,25.155,143
0.8,10.8605,22.0026,25.4013,142
0.9,13.3172,24.5677,25.651,141
1,16.033,27.1581,25.9043,140
1.1,19.0105,29.7742,26.1612,139
1.2,22.2521,32.4164,26.4219,138
1.3,25.7606,35.085,26.6864,137
1.4,29.5387,37.7805,26.9547,136
1.5,33.589,40.5032,27.227,135
1.6,37.9143,43.2536,27.5034,134
1.7,42.5175,46.032,27.784,133
1.8,47.4014,48.8388,28.0688,132
1.9,52.5689,51.6746,28.3579,131
2,58.0229,54.5398,28.6515,130
2.1,63.7663,57.4347,28.9497,129
2.2,69.8023,60.36,29.2525,128
2.3,76.1339,63.316,29.5601,127
2.4,82.7643,66.3033,29.8725,126
2.5,89.6965,69.3223,30.19,125
2.6,96.9338,72.3735,30.5126,124
2.7,104.48,75.4576,30.8404,123
2.8,112.337,78.5749,31.1736,122
2.9,120.51,81.7262,31.5123,121
3,129.001,84.9118,31.8567,120
3.1,137.814,88.1325,32.2068,119
3.2,146.953,91.3888,32.5629,118
3.3,156.421,94.6813,32.925,117
3.4,166.222,98.0106,33.2934,116
3.5,176.36,101.377,33.6683,115
3.6,186.838,104.782,34.0496,114
3.7,197.661,108.226,34.4378,113
3.8,208.832,111.709,34.8329,112
3.9,220.355,115.233,35.235,111
4,232.235,118.797,35.6445,110
4.1,244.475,122.404,36.0616,109
4.2,257.08,126.052,36.4863,108
4.3,270.055,129.744,36.919,107
4.4,283.403,133.48,37.3598,106
4.5,297.129,137.261,37.809,105
4.6,311.238,141.088,38.2669,104
4.7,325.734,144.961,38.7337,103
4.8,340.622,148.882,39.2096,102
4.9,355.907,152.852,39.695,101
5,371.594,156.871,40.19,100
5.1,387.688,160.94,40.6951,99
5.2,404.194,165.061,41.2104,98
5.3,421.118,169.235,41.7364,97
5.4,438.464,173.462,42.2733,96
5.5,456.238,177.744,42.8216,95
5.6,474.447,182.082,43.3815,94
5.7,493.094,186.478,43.9534,93
5.8,512.188,190.931,44.5378,92
5.9,531.732,195.445,45.1351,91
6,551.734,200.02,45.7456,90
6.1,572.2,204.657,46.3698,89
6.2,593.135,209.357,47.0082,88
6.3,614.548,214.123,47.6613,87
6.4,636.443,218.956,48.3295,86
6.5,658.829,223.858,49.0135,85
6.6,681.712,228.829,49.7138,84
6.7,705.099,233.872,50.431,83
6.8,728.998,238.989,51.1656,82
6.9,753.416,244.181,51.9184,81
7,778.361,249.45,52.69,80
7.1,803.841,254.798,53.4811,79
7.2,829.864,260.227,54.2926,78
7.3,856.438,265.74,55.1251,77
7.4,883.571,271.337,55.9795,76
7.5,911.274,277.023,56.8567,75
7.6,939.554,282.799,57.7576,74
7.7,968.42,288.667,58.6832,73
7.8,997.883,294.631,59.6344,72
7.9,1027.95,300.692,60.6125,71
8,1058.64,306.854,61.6186,70
8.1,1089.95,313.119,62.6538,69
8.2,1121.9,319.491,63.7194,68
8.3,1154.5,325.973,64.8169,67
8.4,1187.75,332.568,65.9476,66
8.5,1221.68,339.279,67.1131,65
8.6,1256.29,346.11,68.315,64
8.7,1291.6,353.066,69.5551,63
8.8,1327.61,360.149,70.8352,62
8.9,1364.35,367.365,72.1572,61
9,1401.82,374.717,73.5233,60
9.1,1440.04,382.211,74.9358,59
9.2,1479.03,389.851,76.3969,58
9.3,1518.79,397.642,77.9093,57
9.4,1559.35,405.589,79.4757,56
9.5,1600.72,413.699,81.0991,55
9.6,1642.92,421.977,82.7826,54
9.7,1685.96,430.43,84.5296,53
9.8,1729.87,439.065,86.3438,52
9.9,1774.66,447.888,88.2292,51
10,1820.35,456.907,90.19,50
10.1,1865.94,455.926,-9.81,50
10.2,1911.43,454.945,-9.81,50
10.3,1956.83,453.964,-9.81,50
10.4,2002.13,452.983,-9.81,50
10.5,2047.33,452.002,-9.81,50
10.6,2092.43,451.021,-9.81,50
10.7,2137.44,450.04,-9.81,50
10.8,2182.34,449.059,-9.81,50
10.9,2227.15,448.078,-9.81,50
11,2271.86,447.097,-9.81,50
11.1,2316.47,446.116,-9.81,50
11.2,2360.98,445.135,-9.81,50
11.3,2405.4,444.154,-9.81,50
11.4,2449.72,443.173,-9.81,50
11.5,2493.94,442.192,-9.81,50
11.6,2538.06,441.211,-9.81,50
11.7,2582.08,440.23,-9.81,50
11.8,2626,439.249,-9.81,50
11.9,2669.83,438.268,-9.81,50
12,2713.56,437.287,-9.81,50
12.1,2757.19,436.306,-9.81,50
12.2,2800.72,435.325,-9.81,50
12.3,2844.16,434.344,-9.81,50
12.4,2887.49,433.363,-9.81,50
12.5,2930.73,432.382,-9.81,50
12.6,2973.87,431.401,-9.81,50
12.7,3016.91,430.42,-9.81,50
12.8,3059.86,429.439,-9.81,50
12.9,3102.7,428.458,-9.81,50
13,3145.45,427.477,-9.81,50
13.1,3188.1,426.496,-9.81,50
13.2,3230.65,425.515,-9.81,50
13.3,3273.11,424.534,-9.81,50
13.4,3315.46,423.553,-9.81,50
13.5,3357.72,422.572,-9.81,50
13.6,3399.88,421.591,-9.81,50
13.7,3441.94,420.61,-9.81,50
13.8,3483.9,419.629,-9.81,50
13.9,3525.77,418.648,-9.81,50
14,3567.53,417.667,-9.81,50
14.1,3609.2,416.686,-9.81,50
14.2,3650.77,415.705,-9.81,50
14.3,3692.24,414.724,-9.81,50
14.4,3733.62,413.743,-9.81,50
14.5,3774.89,412.762,-9.81,50
14.6,3816.07,411.781,-9.81,50
14.7,3857.15,410.8,-9.81,50
14.8,3898.13,409.819,-9.81,50
14.9,3939.02,408.838,-9.81,50
15,3979.8,407.857,-9.81,50
15.1,4020.49,406.876,-9.81,50
15.2,4061.08,405.895,-9.81,50
15.3,4101.57,404.914,-9.81,50
15.4,4141.96,403.933,-9.81,50
15.5,4182.26,402.952,-9.81,50
15.6,4222.46,401.971,-9.81,50
15.7,4262.56,400.99,-9.81,50
15.8,4302.56,400.009,-9.81,50
15.9,4342.46,399.028,-9.81,50
16,4382.26,398.047,-9.81,50
16.1,4421.97,397.066,-9.81,50
16.2,4461.58,396.085,-9.81,50
16.3,4501.09,395.104,-9.81,50
16.4,4540.5,394.123,-9.81,50
16.5,4579.82,393.142,-9.81,50
16.6,4619.03,392.161,-9.81,50
16.7,4658.15,391.18,-9.81,50
16.8,4697.17,390.199,-9.81,50
16.9,4736.09,389.218,-9.81,50
17,4774.92,388.237,-9.81,50
17.1,4813.64,387.256,-9.81,50
17.2,4852.27,386.275,-9.81,50
17.3,4890.8,385.294,-9.81,50
17.4,4929.23,384.313,-9.81,50
17.5,4967.56,383.332,-9.81,50
17.6,5005.8,382.351,-9.81,50
17.7,5043.93,381.37,-9.81,50
17.8,5081.97,380.389,-9.81,50
17.9,5119.91,379.408,-9.81,50
18,5157.76,378.427,-9.81,50
18.1,5195.5,377.446,-9.81,50
18.2,5233.15,376.465,-9.81,50
18.3,5270.7,375.484,-9.81,50
18.4,5308.15,374.503,-9.81,50
18.5,5345.5,373.522,-9.81,50
18.6,5382.75,372.541,-9.81,50
18.7,5419.91,371.56,-9.81,50
18.8,5456.97,370.579,-9.81,50
18.9,5493.93,369.598,-9.81,50
19,5530.79,368.617,-9.81,50
19.1,5567.55,367.636,-9.81,50
19.2,5604.22,366.655,-9.81,50
19.3,5640.78,365.674,-9.81,50
19.4,5677.25,364.693,-9.81,50
19.5,5713.62,363.712,-9.81,50
19.6,5749.9,362.731,-9.81,50
19.7,5786.07,361.75,-9.81,50
19.8,5822.15,360.769,-9.81,50
19.9,5858.13,359.788,-9.81,50
20,5894.01,358.807,-9.81,50
20.1,5929.79,357.826,-9.81,50
20.2,5965.48,356.845,-9.81,50
20.3,6001.06,355.864,-9.81,50
20.4,6036.55,354.883,-9.81,50
20.5,6071.94,353.902,-9.81,50
20.6,6107.23,352.921,-9.81,50
20.7,6142.43,351.94,-9.81,50
20.8,6177.52,350.959,-9.81,50
20.9,6212.52,349.978,-9.81,50
21,6247.42,348.997,-9.81,50
21.1,6282.22,348.016,-9.81,50
21.2,6316.92,347.035,-9.81,50
21.3,6351.53,346.054,-9.81,50
21.4,6386.04,345.073,-9.81,50
21.5,6420.45,344.092,-9.81,50
21.6,6454.76,343.111,-9.81,50
21.7,6488.97,342.13,-9.81,50
21.8,6523.09,341.149,-9.81,50
21.9,6557.1,340.168,-9.81,50
22,6591.02,339.187,-9.81,50
22.1,6624.84,338.206,-9.81,50
22.2,6658.56,337.225,-9.81,50
22.3,6692.19,336.244,-9.81,50
22.4,6725.71,335.263,-9.81,50
22.5,6759.14,334.282,-9.81,50
22.6,6792.47,333.301,-9.81,50
22.7,6825.7,332.32,-9.81,50
22.8,6858.84,331.339,-9.81,50
22.9,6891.87,330.358,-9.81,50
23,6924.81,329.377,-9.81,50
23.1,6957.65,328.396,-9.81,50
23.2,6990.39,327.415,-9.81,50
23.3,7023.04,326.434,-9.81,50
23.4,7055.58,325.453,-9.81,50
23.5,7088.03,324.472,-9.81,50
23.6,7120.38,323.491,-9.81,50
23.7,7152.63,322.51,-9.81,50
23.8,7184.78,321.529,-9.81,50
23.9,7216.84,320.548,-9.81,50
24,7248.79,319.567,-9.81,50
24.1,7280.65,318.586,-9.81,50
24.2,7312.41,317.605,-9.81,50
24.3,7344.07,316.624,-9.81,50
24.4,7375.64,315.643,-9.81,50
24.5,7407.11,314.662,-9.81,50
24.6,7438.47,313.681,-9.81,50
24.7,7469.74,312.7,-9.81,50
24.8,7500.91,311.719,-9.81,50
24.9,7531.99,310.738,-9.81,50
25,7562.96,309.757,-9.81,50
25.1,7593.84,308.776,-9.81,50
25.2,7624.62,307.795,-9.81,50
25.3,7655.3,306.814,-9.81,50
25.4,7685.89,305.833,-9.81,50
25.5,7716.37,304.852,-9.81,50
25.6,7746.76,303.871,-9.81,50
25.7,7777.05,302.89,-9.81,50
25.8,7807.24,301.909,-9.81,50
25.9,7837.33,300.928,-9.81,50
26,7867.33,299.947,-9.81,50
26.1,7897.22,298.966,-9.81,50
26.2,7927.02,297.985,-9.81,50
26.3,7956.72,297.004,-9.81,50
26.4,7986.32,296.023,-9.81,50
26.5,8015.83,295.042,-9.81,50
26.6,8045.23,294.061,-9.81,50
26.7,8074.54,293.08,-9.81,50
26.8,8103.75,292.099,-9.81,50
26.9,8132.86,291.118,-9.81,50
27,8161.88,290.137,-9.81,50
27.1,8190.79,289.156,-9.81,50
27.2,8219.61,288.175,-9.81,50
27.3,8248.33,287.194,-9.81,50
27.4,8276.95,286.213,-9.81,50
27.5,8305.47,285.232,-9.81,50
27.6,8333.9,284.251,-9.81,50
27.7,8362.23,283.27,-9.81,50
27.8,8390.45,282.289,-9.81,50
27.9,8418.59,281.308,-9.81,50
28,8446.62,280.327,-9.81,50
28.1,8474.55,279.346,-9.81,50
28.2,8502.39,278.365,-9.81,50
28.3,8530.13,277.384,-9.81,50
28.4,8557.77,276.403,-9.81,50
28.5,8585.31,275.422,-9.81,50
28.6,8612.75,274.441,-9.81,50
28.7,8640.1,273.46,-9.81,50
28.8,8667.35,272.479,-9.81,50
28.9,8694.5,271.498,-9.81,50
29,8721.55,270.517,-9.81,50
29.1,8748.5,269.536,-9.81,50
29.2,8775.36,268.555,-9.81,50
29.3,8802.12,267.574,-9.81,50
29.4,8828.77,266.593,-9.81,50
29.5,8855.34,265.612,-9.81,50
29.6,8881.8,264.631,-9.81,50
29.7,8908.16,263.65,-9.81,50
29.8,8934.43,262.669,-9.81,50
29.9,8960.6,261.688,-9.81,50
30,8986.67,260.707,-9.81,50
30.1,9012.64,259.726,-9.81,50
30.2,9038.52,258.745,-9.81,50
30.3,9064.29,257.764,-9.81,50
30.4,9089.97,256.783,-9.81,50
30.5,9115.55,255.802,-9.81,50
30.6,9141.03,254.821,-9.81,50
30.7,9166.42,253.84,-9.81,50
30.8,9191.7,252.859,-9.81,50
30.9,9216.89,251.878,-9.81,50
31,9241.98,250.897,-9.81,50
31.1,9266.97,249.916,-9.81,50
31.2,9291.87,248.935,-9.81,50
31.3,9316.66,247.954,-9.81,50
31.4,9341.36,246.973,-9.81,50
31.5,9365.96,245.992,-9.81,50
31.6,9390.46,245.011,-9.81,50
31.7,9414.86,244.03,-9.81,50
31.8,9439.17,243.049,-9.81,50
31.9,9463.37,242.068,-9.81,50
32,9487.48,241.087,-9.81,50
32.1,9511.49,240.106,-9.81,50
32.2,9535.41,239.125,-9.81,50
32.3,9559.22,238.144,-9.81,50
32.4,9582.94,237.163,-9.81,50
32.5,9606.55,236.182,-9.81,50
32.6,9630.07,235.201,-9.81,50
32.7,9653.5,234.22,-9.81,50
32.8,9676.82,233.239,-9.81,50
32.9,9700.05,232.258,-9.81,50
33,9723.17,231.277,-9.81,50
33.1,9746.2,230.296,-9.81,50
33.2,9769.13,229.315,-9.81,50
33.3,9791.97,228.334,-9.81,50
33.4,9814.7,227.353,-9.81,50
33.5,9837.34,226.372,-9.81,50
33.6,9859.88,225.391,-9.81,50
33.7,9882.32,224.41,-9.81,50
33.8,9904.66,223.429,-9.81,50
33.9,9926.91,222.448,-9.81,50
34,9949.05,221.467,-9.81,50
34.1,9971.1,220.486,-9.81,50
34.2,9993.05,219.505,-9.81,50
34.3,10014.9,218.524,-9.81,50
34.4,10036.7,217.543,-9.81,50
34.5,10058.3,216.562,-9.81,50
34.6,10079.9,215.581,-9.81,50
34.7,10101.3,214.6,-9.81,50
34.8,10122.7,213.619,-9.81,50
34.9,10144,212.638,-9.81,50
35,10165.1,211.657,-9.81,50
35.1,10186.2,210.676,-9.81,50
35.2,10207.2,209.695,-9.81,50
35.3,10228,208.714,-9.81,50
35.4,10248.8,207.733,-9.81,50
35.5,10269.5,206.752,-9.81,50
35.6,10290.1,205.771,-9.81,50
35.7,10310.5,204.79,-9.81,50
35.8,10330.9,203.809,-9.81,50
35.9,10351.2,202.828,-9.81,50
36,10371.4,201.847,-9.81,50
36.1,10391.5,200.866,-9.81,50
36.2,10411.5,199.885,-9.81,50
36.3,10431.4,198.904,-9.81,50
36.4,10451.1,197.923,-9.81,50
36.5,10470.8,196.942,-9.81,50
36.6,10490.4,195.961,-9.81,50
36.7,10509.9,194.98,-9.81,50
36.8,10529.3,193.999,-9.81,50
36.9,10548.6,193.018,-9.81,50
37,10567.8,192.037,-9.81,50
37.1,10586.9,191.056,-9.81,50
37.2,10606,190.075,-9.81,50
37.3,10624.9,189.094,-9.81,50
37.4,10643.7,188.113,-9.81,50
37.5,10662.4,187.132,-9.81,50
37.6,10681,186.151,-9.81,50
37.7,10699.5,185.17,-9.81,50
37.8,10717.9,184.189,-9.81,50
37.9,10736.3,183.208,-9.81,50
38,10754.5,182.227,-9.81,50
38.1,10772.6,181.246,-9.81,50
38.2,10790.6,180.265,-9.81,50
38.3,10808.6,179.284,-9.81,50
38.4,10826.4,178.303,-9.81,50
38.5,10844.1,177.322,-9.81,50
38.6,10861.8,176.341,-9.81,50
38.7,10879.3,175.36,-9.81,50
38.8,10896.7,174.379,-9.81,50
38.9,10914.1,173.398,-9.81,50
39,10931.3,172.417,-9.81,50
39.1,10948.5,171.436,-9.81,50
39.2,10965.5,170.455,-9.81,50
39.3,10982.4,169.474,-9.81,50
39.4,10999.3,168.493,-9.81,50
39.5,11016,167.512,-9.81,50
39.6,11032.7,166.531,-9.81,50
39.7,11049.3,165.55,-9.81,50
39.8,11065.7,164.569,-9.81,50
39.9,11082.1,163.588,-9.81,50
40,11098.3,162.607,-9.81,50
40.1,11114.5,161.626,-9.81,50
40.2,11130.6,160.645,-9.81,50
40.3,11146.5,159.664,-9.81,50
40.4,11162.4,158.683,-9.81,50
40.5,11178.2,157.702,-9.81,50
40.6,11193.8,156.721,-9.81,50
40.7,11209.4,155.74,-9.81,50
40.8,11224.9,154.759,-9.81,50
40.9,11240.3,153.778,-9.81,50
41,11255.5,152.797,-9.81,50
41.1,11270.7,151.816,-9.81,50
41.2,11285.8,150.835,-9.81,50
41.3,11300.8,149.854,-9.81,50
41.4,11315.7,148.873,-9.81,50
41.5,11330.5,147.892,-9.81,50
41.6,11345.2,146.911,-9.81,50
41.7,11359.8,145.93,-9.81,50
41.8,11374.2,144.949,-9.81,50
41.9,11388.6,143.968,-9.81,50
42,11402.9,142.987,-9.81,50
42.1,11417.1,142.006,-9.81,50
42.2,11431.2,141.025,-9.81,50
42.3,11445.3,140.044,-9.81,50
42.4,11459.2,139.063,-9.81,50
42.5,11473,138.082,-9.81,50
42.6,11486.7,137.101,-9.81,50
42.7,11500.3,136.12,-9.81,50
42.8,11513.8,135.139,-9.81,50
42.9,11527.2,134.158,-9.81,50
43,11540.5,133.177,-9.81,50
43.1,11553.8,132.196,-9.81,50
43.2,11566.9,131.215,-9.81,50
43.3,11579.9,130.234,-9.81,50
43.4,11592.8,129.253,-9.81,50
43.5,11605.7,128.272,-9.81,50
43.6,11618.4,127.291,-9.81,50
43.7,11631,126.31,-9.81,50
43.8,11643.5,125.329,-9.81,50
43.9,11656,124.348,-9.81,50
44,11668.3,123.367,-9.81,50
44.1,11680.6,122.386,-9.81,50
44.2,11692.7,121.405,-9.81,50
44.3,11704.7,120.424,-9.81,50
44.4,11716.7,119.443,-9.81,50
44.5,11728.5,118.462,-9.81,50
44.6,11740.3,117.481,-9.81,50
44.7,11751.9,116.5,-9.81,50
44.8,11763.5,115.519,-9.81,50
44.9,11774.9,114.538,-9.81,50
45,11786.3,113.557,-9.81,50
45.1,11797.5,112.576,-9.81,50
45.2,11808.7,111.595,-9.81,50
45.3,11819.8,110.614,-9.81,50
45.4,11830.7,109.633,-9.81,50
45.5,11841.6,108.652,-9.81,50
45.6,11852.4,107.671,-9.81,50
45.7,11863,106.69,-9.81,50
45.8,11873.6,105.709,-9.81,50
45.9,11884.1,104.728,-9.81,50
46,11894.4,103.747,-9.81,50
46.1,11904.7,102.766,-9.81,50
46.2,11914.9,101.785,-9.81,50
46.3,11925,100.804,-9.81,50
46.4,11935,99.8226,-9.81,50
46.5,11944.8,98.8416,-9.81,50
46.6,11954.6,97.8606,-9.81,50
46.7,11964.3,96.8796,-9.81,50
46.8,11973.9,95.8986,-9.81,50
46.9,11983.4,94.9176,-9.81,50
47,11992.8,93.9366,-9.81,50
47.1,12002.1,92.9556,-9.81,50
47.2,12011.3,91.9746,-9.81,50
47.3,12020.4,90.9936,-9.81,50
47.4,12029.4,90.0126,-9.81,50
47.5,12038.3,89.0316,-9.81,50
47.6,12047.1,88.0506,-9.81,50
47.7,12055.8,87.0696,-9.81,50
47.8,12064.4,86.0886,-9.81,50
47.9,12072.9,85.1076,-9.81,50
48,12081.3,84.1266,-9.81,50
48.1,12089.7,83.1456,-9.81,50
48.2,12097.9,82.1646,-9.81,50
48.3,12106,81.1836,-9.81,50
48.4,12114,80.2026,-9.81,50
48.5,12121.9,79.2216,-9.81,50
48.6,12129.8,78.2406,-9.81,50
48.7,12137.5,77.2596,-9.81,50
48.8,12145.1,76.2786,-9.81,50
48.9,12152.6,75.2976,-9.81,50
49,12160.1,74.3166,-9.81,50
49.1,12167.4,73.3356,-9.81,50
49.2,12174.6,72.3546,-9.81,50
49.3,12181.8,71.3736,-9.81,50
49.4,12188.8,70.3926,-9.81,50
49.5,12195.8,69.4116,-9.81,50
49.6,12202.6,68.4306,-9.81,50
49.7,12209.3,67.4496,-9.81,50
49.8,12216,66.4686,-9.81,50
49.9,12222.5,65.4876,-9.81,50
50,12229,64.5066,-9.81,50
50.1,12235.3,63.5256,-9.81,50
50.2,12241.6,62.5446,-9.81,50
50.3,12247.8,61.5636,-9.81,50
50.4,12253.8,60.5826,-9.81,50
50.5,12259.8,59.6016,-9.81,50
50.6,12265.6,58.6206,-9.81,50
50.7,12271.4,57.6396,-9.81,50
50.8,12277.1,56.6586,-9.81,50
50.9,12282.6,55.6776,-9.81,50
51,12288.1,54.6966,-9.81,50
51.1,12293.5,53.7156,-9.81,50
51.2,12298.7,52.7346,-9.81,50
51.3,12303.9,51.7536,-9.81,50
51.4,12309,50.7726,-9.81,50
51.5,12314,49.7916,-9.81,50
51.6,12318.9,48.8106,-9.81,50
51.7,12323.6,47.8296,-9.81,50
51.8,12328.3,46.8486,-9.81,50
51.9,12332.9,45.8676,-9.81,50
52,12337.4,44.8866,-9.81,50
52.1,12341.8,43.9056,-9.81,50
52.2,12346.1,42.9246,-9.81,50
52.3,12350.3,41.9436,-9.81,50
52.4,12354.4,40.9626,-9.81,50
52.5,12358.4,39.9816,-9.81,50
52.6,12362.3,39.0006,-9.81,50
52.7,12366.1,38.0196,-9.81,50
52.8,12369.8,37.0386,-9.81,50
52.9,12373.4,36.0576,-9.81,50
53,12376.9,35.0766,-9.81,50
53.1,12380.3,34.0956,-9.81,50
53.2,12383.6,33.1146,-9.81,50
53.3,12386.8,32.1336,-9.81,50
53.4,12389.9,31.1526,-9.81,50
53.5,12393,30.1716,-9.81,50
53.6,12395.9,29.1906,-9.81,50
53.7,12398.7,28.2096,-9.81,50
53.8,12401.4,27.2286,-9.81,50
53.9,12404.1,26.2476,-9.81,50
54,12406.6,25.2666,-9.81,50
54.1,12409,24.2856,-9.81,50
54.2,12411.3,23.3046,-9.81,50
54.3,12413.6,22.3236,-9.81,50
54.4,12415.7,21.3426,-9.81,50
54.5,12417.7,20.3616,-9.81,50
54.6,12419.7,19.3806,-9.81,50
54.7,12421.5,18.3996,-9.81,50
54.8,12423.3,17.4186,-9.81,50
54.9,12424.9,16.4376,-9.81,50
55,12426.4,15.4566,-9.81,50
55.1,12427.9,14.4756,-9.81,50
55.2,12429.2,13.4946,-9.81,50
55.3,12430.5,12.5136,-9.81,50
55.4,12431.6,11.5326,-9.81,50
55.5,12432.7,10.5516,-9.81,50
55.6,12433.7,9.57063,-9.81,50
55.7,12434.5,8.58963,-9.81,50
55.8,12435.3,7.60863,-9.81,50
55.9,12435.9,6.62763,-9.81,50
56,12436.5,5.64663,-9.81,50
56.1,12437,4.66563,-9.81,50
56.2,12437.3,3.68463,-9.81,50
56.3,12437.6,2.70363,-9.81,50
56.4,12437.8,1.72263,-9.81,50
56.5,12437.9,0.741625,-9.81,50
56.6,12437.8,-0.239375,-9.81,50
